latitude,longitude,acq_date,acq_time,bright_ti4,frp,is_fire
60.60169,-95.11977,470,1836,0.0,0.0,0
50.67694,-97.35504,153,752,0.0,0.0,0
54.15532,-108.28713,760,810,309.71,2.01,1
65.46086,-126.01224,1170,2139,0.0,0.0,0
52.40307,-113.24097,1628,2005,344.58,10.6,1
52.34199,-107.25403,2023,1013,0.0,0.0,0
50.70902,-99.85279,1628,1824,0.0,0.0,0
42.312,-82.05017,2009,757,312.16,1.24,1
45.36645,-61.60484,183,1815,0.0,0.0,0
45.77152,-66.30161,214,708,0.0,0.0,0
54.13275,-118.01779,1931,2027,0.0,0.0,0
60.70591,-105.92209,730,914,0.0,0.0,0
46.51517,-84.39268,61,817,318.33,2.5,1
58.13341,-116.67862,1856,1707,0.0,0.0,0
57.73696,-124.74883,1170,2136,0.0,0.0,0
49.87291,-99.54504,365,1944,338.31,66.38,1
55.686,-124.96459,958,2110,0.0,0.0,0
50.12989,-96.89931,532,927,295.94,1.17,1
52.16048,-113.99703,791,1010,0.0,0.0,0
64.90165,-125.43704,1262,2113,367.0,46.01,1
65.62195,-123.87681,1979,1850,358.01,18.01,1
56.04562,-123.96867,593,1024,0.0,0.0,0
53.82109,-113.54239,228,1106,0.0,0.0,0
51.20045,-99.85657,1475,945,0.0,0.0,0
63.02858,-92.19833,1139,1938,338.86,11.23,1
55.23648,-117.19632,730,1904,340.45,5.46,1
50.72222,-104.66319,91,2023,330.71,3.5,1
55.02971,-120.51287,883,2116,367.0,347.48,1
54.39232,-118.90396,730,1054,0.0,0.0,0
54.83579,-113.15177,958,2110,0.0,0.0,0
54.93347,-103.92078,1887,739,0.0,0.0,0
52.31705,-106.77266,1109,2039,0.0,0.0,0
51.34773,-87.78593,1170,1812,0.0,0.0,0
49.46892,-120.55186,927,922,0.0,0.0,0
46.75553,-83.56264,91,714,0.0,0.0,0
53.59524,-94.5042,487,829,0.0,0.0,0
54.93018,-128.88283,1826,2135,328.26,2.68,1
52.7655,-126.79533,1552,1849,0.0,0.0,0
56.59516,-73.58251,379,2023,0.0,0.0,0
72.09795,-95.34887,1689,1919,0.0,0.0,0
42.31082,-82.05103,1658,734,304.16,0.91,1
49.51966,-121.13572,409,2100,0.0,0.0,0
49.14011,-102.37921,1658,1900,326.63,1.73,1
59.76904,-123.18468,1292,1017,0.0,0.0,0
