latitude,longitude,acq_date,acq_time,bright_ti4,frp,is_fire
52.10505,-123.40123,2021-04-15,2204,367.0,8.1,1
51.16468,-114.7858,2025-04-01,1005,0.0,0.0,0
50.8767,-115.67011,2021-11-01,2115,0.0,0.0,0
50.01422,-103.29919,2021-09-15,1915,0.0,0.0,0
55.38455,-121.64854,2023-04-15,1900,0.0,0.0,0
56.98119,-98.03839,2022-07-15,1934,0.0,0.0,0
50.38458,-111.13139,2024-08-01,1909,334.54,2.63,1
53.91393,-105.78039,2021-11-15,2013,0.0,0.0,0
53.51059,-96.48794,2025-10-01,1924,0.0,0.0,0
49.55457,-76.27591,2025-09-15,1923,0.0,0.0,0
57.90551,-69.62192,2022-08-15,1953,0.0,0.0,0
51.34281,-113.55271,2025-06-01,922,0.0,0.0,0
66.85066,-87.62634,2025-07-01,1811,0.0,0.0,0
55.5835,-121.54715,2020-09-01,932,0.0,0.0,0
53.65026,-121.99061,2024-08-15,958,0.0,0.0,0
60.25846,-126.69929,2022-08-15,2136,367.0,165.46,1
61.01189,-134.58088,2022-10-01,2016,0.0,0.0,0
56.0982,-123.74076,2022-11-01,1850,0.0,0.0,0
81.86199,-86.63457,2020-08-15,1756,0.0,0.0,0
54.83447,-118.89214,2023-10-01,1119,307.46,0.58,1
51.79446,-123.95787,2020-10-01,2140,0.0,0.0,0
50.66427,-113.14486,2023-05-01,910,0.0,0.0,0
49.47299,-103.70849,2024-04-15,806,299.58,0.44,1
52.08677,-113.84564,2022-06-01,1958,0.0,0.0,0
53.27368,-106.00039,2024-06-15,900,0.0,0.0,0
61.27406,-110.15733,2025-07-01,1811,367.0,8.32,1
52.75982,-107.03397,2023-09-01,1851,331.35,8.08,1
53.91569,-114.59156,2020-11-01,2018,0.0,0.0,0
55.39641,-126.03548,2022-11-15,2110,356.28,51.6,1
50.35083,-122.87271,2025-04-01,2133,341.45,5.14,1
50.15503,-102.47033,2025-04-15,2030,0.0,0.0,0
63.37884,-91.59334,2024-09-01,935,0.0,0.0,0
58.90986,-105.45236,2023-07-01,1955,0.0,0.0,0
61.43931,-129.71123,2022-08-15,1957,332.08,4.14,1
49.2657,-97.35314,2023-11-15,2023,0.0,0.0,0
52.08251,-104.97526,2020-11-01,1837,0.0,0.0,0
50.82254,-97.09468,2021-09-15,1914,325.6,1.64,1
50.26026,-99.74792,2022-09-15,2011,0.0,0.0,0
50.64551,-118.23701,2021-06-01,2042,0.0,0.0,0
52.38633,-101.52879,2025-10-01,755,0.0,0.0,0
55.67419,-72.20762,2023-08-01,701,0.0,0.0,0
52.25,-91.07252,2021-08-15,1855,0.0,0.0,0
54.12769,-111.31091,2024-04-01,2037,0.0,0.0,0
