latitude,longitude,acq_date,acq_time,bright_ti4,frp,is_fire
50.63057,-104.07234,2024-05-15,2011,0.0,0.0,0
50.02459,-98.17392,2024-06-15,1848,346.46,74.49,1
52.64075,-85.01022,2023-10-01,758,0.0,0.0,0
49.15887,-123.007,2022-07-01,1049,298.51,0.56,1
50.2123,-104.47749,2020-10-15,908,0.0,0.0,0
56.8253,-120.24694,2021-04-15,2025,0.0,0.0,0
44.52662,-81.17924,2023-09-01,1848,326.03,1.61,1
54.9721,-118.41833,2024-11-15,1111,323.99,1.23,1
53.11612,-124.47435,2024-09-01,2109,328.06,4.05,1
75.24796,-84.0089,2021-11-01,1753,0.0,0.0,0
59.87239,-120.90909,2025-06-15,958,0.0,0.0,0
53.14128,-117.56711,2022-09-15,1024,0.0,0.0,0
54.89884,-119.86988,2024-04-15,1125,0.0,0.0,0
58.58554,-116.97129,2022-06-01,1008,336.35,2.0,1
48.05624,-75.26297,2023-06-01,1733,330.71,2.31,1
57.4319,-121.38469,2020-07-15,931,0.0,0.0,0
55.81502,-97.37287,2024-08-15,1947,0.0,0.0,0
60.28899,-95.48471,2025-11-15,1841,0.0,0.0,0
45.87533,-72.62196,2021-11-01,625,0.0,0.0,0
50.19699,-106.33461,2024-04-15,1934,339.04,3.22,1
50.51525,-104.62891,2023-08-01,1832,334.59,6.06,1
62.51695,-92.84153,2024-10-01,1015,0.0,0.0,0
51.11681,-119.55976,2021-04-15,2204,0.0,0.0,0
61.46193,-107.97758,2020-07-01,851,319.1,2.91,1
54.22205,-116.47655,2022-09-01,1125,317.26,1.35,1
75.22766,-99.69178,2024-05-15,1827,0.0,0.0,0
55.9966,-113.57398,2020-05-15,834,0.0,0.0,0
58.94312,-133.92438,2021-05-15,1737,0.0,0.0,0
53.00774,-109.05262,2022-11-15,939,0.0,0.0,0
52.99027,-108.23461,2020-11-01,2018,0.0,0.0,0
59.63864,-118.2274,2023-06-01,926,0.0,0.0,0
43.5453,-80.22142,2025-11-01,1800,0.0,0.0,0
64.78823,-136.0239,2020-06-15,2028,0.0,0.0,0
55.91673,-120.38449,2025-05-15,939,296.42,0.44,1
56.0959,-120.56556,2024-10-15,2043,329.27,3.89,1
80.55976,-77.36615,2020-11-01,2018,0.0,0.0,0
58.38311,-99.94016,2021-08-01,1820,0.0,0.0,0
46.11987,-73.84518,2020-07-01,1840,0.0,0.0,0
45.24892,-66.5547,2022-11-01,541,0.0,0.0,0
68.30712,-138.81281,2023-10-01,941,0.0,0.0,0
51.03001,-102.81178,2021-07-01,1939,0.0,0.0,0
45.56878,-65.90113,2020-08-01,552,0.0,0.0,0
61.50635,-137.04652,2025-09-15,1114,295.04,1.03,1
56.94803,-110.85086,2023-10-15,835,0.0,0.0,0
46.08814,-65.12749,2020-07-15,611,0.0,0.0,0
55.43008,-102.20729,2022-08-15,1003,0.0,0.0,0
45.11149,-73.00817,2022-09-01,625,298.74,1.78,1
52.33383,-112.67789,2020-10-01,1959,332.26,3.71,1
55.19276,-120.31495,2025-05-01,2214,0.0,0.0,0
54.37922,-107.93269,2021-04-15,2023,0.0,0.0,0
49.09782,-123.01579,2020-07-15,2101,326.48,3.14,1
50.49539,-97.24458,2023-06-01,928,0.0,0.0,0
61.50686,-139.21646,2021-05-15,1737,0.0,0.0,0
57.00012,-109.83738,2025-07-15,1702,0.0,0.0,0
54.17096,-110.88218,2024-10-15,1902,352.43,28.72,1
46.48632,-81.03443,2025-06-15,819,299.04,1.14,1
60.44915,-111.87127,2022-10-01,1021,347.06,8.0,1
45.52675,-62.92736,2020-10-15,1712,0.0,0.0,0
49.96384,-98.19273,2021-11-01,946,0.0,0.0,0
59.5264,-110.29975,2021-08-01,1821,0.0,0.0,0
50.44954,-97.79518,2024-11-01,1842,345.28,10.99,1
54.35018,-85.01245,2023-07-01,1954,0.0,0.0,0
58.61284,-106.69512,2023-07-01,1955,0.0,0.0,0
51.82212,-98.91212,2021-06-01,2042,367.0,32.64,1
46.69172,-83.64688,2022-07-01,1853,0.0,0.0,0
46.10721,-72.53756,2023-08-15,741,0.0,0.0,0
59.74056,-109.24879,2021-08-01,1008,320.67,1.94,1
56.3966,-116.34108,2025-04-15,2032,0.0,0.0,0
46.59081,-83.88593,2024-05-01,806,0.0,0.0,0
49.96648,-103.10599,2025-05-01,903,0.0,0.0,0
46.52376,-84.37228,2020-07-01,714,307.27,1.91,1
45.84741,-75.20236,2022-07-15,1750,0.0,0.0,0
61.47581,-136.98073,2025-09-01,2210,367.0,163.13,1
50.47493,-97.13754,2020-09-15,1817,337.95,17.48,1
66.0962,-129.90494,2021-05-01,1841,0.0,0.0,0
58.34826,-107.17295,2024-10-15,1901,0.0,0.0,0
53.75818,-103.19763,2021-09-15,1915,0.0,0.0,0
50.45918,-99.08363,2022-09-01,1933,333.03,3.54,1
52.73606,-87.22457,2025-06-01,1729,367.0,11.79,1
46.51669,-84.39617,2021-08-15,728,339.43,4.77,1
50.41994,-121.42885,2024-08-01,2049,367.0,149.05,1
50.02916,-120.66961,2022-04-01,915,326.75,1.65,1
54.17161,-122.95049,2023-09-15,939,0.0,0.0,0
55.90993,-118.71755,2022-04-01,913,0.0,0.0,0
54.7684,-117.84207,2023-09-15,1119,0.0,0.0,0
46.57637,-80.79608,2025-04-01,643,337.29,12.47,1
50.5178,-104.63065,2023-04-15,910,305.92,0.93,1
53.24032,-116.59953,2022-09-15,1024,301.39,1.12,1
57.92637,-74.12201,2022-04-15,811,0.0,0.0,0
53.47176,-112.22253,2021-07-15,1029,0.0,0.0,0
56.30645,-129.12579,2021-10-15,1004,317.87,3.45,1
55.15692,-96.26208,2024-08-15,1803,0.0,0.0,0
53.08862,-114.76639,2021-04-01,1946,329.24,4.4,1
45.83705,-73.24873,2023-11-01,637,303.68,0.95,1
58.35617,-116.61189,2020-07-15,1923,0.0,0.0,0
61.71548,-111.72995,2020-07-01,852,0.0,0.0,0
56.76466,-119.396,2021-08-01,1818,0.0,0.0,0
53.91895,-113.56794,2020-05-01,938,0.0,0.0,0
56.73302,-112.35424,2021-10-01,2057,0.0,0.0,0
56.14733,-120.6654,2020-09-01,1112,307.84,1.3,1
49.96064,-99.54845,2021-09-15,1914,332.72,3.02,1
54.15854,-108.28191,2023-08-15,921,331.56,3.45,1
54.69471,-103.52917,2021-11-15,1832,0.0,0.0,0
45.0973,-76.76075,2024-11-01,714,0.0,0.0,0
45.50642,-72.95889,2022-05-01,1756,0.0,0.0,0
49.2185,-115.81295,2023-11-01,959,334.46,10.92,1
49.15837,-123.00714,2024-09-01,1120,301.61,1.03,1
58.10123,-117.591,2025-05-15,1931,0.0,0.0,0
43.42246,-80.40878,2020-04-01,1846,0.0,0.0,0
53.43817,-98.36246,2022-07-01,1858,0.0,0.0,0
65.75285,-92.74944,2025-10-01,1741,0.0,0.0,0
50.25324,-100.81226,2023-09-01,2031,0.0,0.0,0
53.98639,-118.20391,2020-10-15,1048,0.0,0.0,0
51.11175,-103.83577,2021-08-01,830,0.0,0.0,0
56.77288,-116.39499,2022-04-01,2044,0.0,0.0,0
55.79811,-122.03755,2025-06-01,921,0.0,0.0,0
62.53328,-139.72118,2021-06-15,2124,345.1,15.12,1
52.26733,-90.22121,2021-07-15,1836,0.0,0.0,0
52.38285,-113.5323,2022-10-15,1101,303.98,1.39,1
58.75935,-65.54875,2022-06-01,1008,0.0,0.0,0
51.23288,-98.52947,2025-05-01,902,0.0,0.0,0
61.04971,-96.40228,2020-04-15,1746,0.0,0.0,0
57.00511,-111.47444,2025-07-15,1847,367.0,9.3,1
44.38686,-77.57703,2023-08-01,704,0.0,0.0,0
49.41429,-95.79855,2021-06-01,1900,0.0,0.0,0
54.73454,-105.90478,2020-04-01,721,0.0,0.0,0
72.8489,-120.93413,2023-09-01,2031,0.0,0.0,0
51.10205,-126.28143,2022-11-01,2212,0.0,0.0,0
55.19772,-70.79848,2024-07-01,1849,0.0,0.0,0
50.7173,-97.81435,2020-09-15,1817,0.0,0.0,0
64.37576,-120.38081,2025-08-15,2048,367.0,163.55,1
43.27275,-79.79829,2024-11-01,715,336.86,2.04,1
60.10093,-129.55526,2023-09-15,1119,0.0,0.0,0
49.83714,-98.33652,2025-08-15,1903,341.36,6.24,1
53.26513,-109.94633,2020-09-01,932,301.24,0.73,1
48.59529,-74.8673,2022-09-15,1024,0.0,0.0,0
44.84326,-75.41588,2023-09-01,1707,327.88,4.86,1
55.22649,-105.64189,2020-06-01,1801,0.0,0.0,0
46.65506,-67.62623,2020-05-15,1640,0.0,0.0,0
49.85823,-124.50098,2025-08-01,1020,0.0,0.0,0
62.0993,-130.70119,2022-07-01,2040,0.0,0.0,0
45.41835,-72.96229,2025-04-15,721,0.0,0.0,0
55.7983,-120.93717,2023-04-15,1900,333.58,8.14,1
46.92157,-80.57503,2024-05-15,1828,0.0,0.0,0
70.34226,-76.96653,2021-04-01,1946,0.0,0.0,0
78.07552,-85.20948,2024-10-15,1901,0.0,0.0,0
56.15107,-118.95579,2022-04-01,913,0.0,0.0,0
76.36993,-93.04902,2025-05-15,1745,0.0,0.0,0
